id,Conference,Division,Team,City,Stadium,Capacity,Head coach,Image,Super Bowl Wins
1,AFC,East,Buffalo Bills,"Orchard Park, New York",Highmark Stadium,71608,Sean McDermott,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/100px-Buffalo_Bills_logo.svg.png,0
2,AFC,East,Miami Dolphins,"Miami Gardens, Florida",Hard Rock Stadium,65326,Mike McDaniel,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,2
3,AFC,East,New England Patriots,"Foxborough, Massachusetts",Gillette Stadium,65878,Mike Vrabel,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,6
4,AFC,East,New York Jets,"East Rutherford, New Jersey",MetLife Stadium,82500,Aaron Glenn,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,1
5,AFC,North,Baltimore Ravens,"Baltimore, Maryland",M&T Bank Stadium,71008,John Harbaugh,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/100px-Baltimore_Ravens_logo.svg.png,2
6,AFC,North,Cincinnati Bengals,"Cincinnati, Ohio",Paycor Stadium,65515,Zac Taylor,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,0
7,AFC,North,Cleveland Browns,"Cleveland, Ohio",Huntington Bank Field,67895,Kevin Stefanski,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png,0
8,AFC,North,Pittsburgh Steelers,"Pittsburgh, Pennsylvania",Acrisure Stadium,68400,Mike Tomlin,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,6
9,AFC,South,Houston Texans,"Houston, Texas",NRG Stadium,71995,DeMeco Ryans,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,0
10,AFC,South,Indianapolis Colts,"Indianapolis, Indiana",Lucas Oil Stadium,67000,Shane Steichen,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,2
